EmployeeNumber,Department,MonthlyIncome,JobSatisfaction,OverTime,attrition_risk_level
1,Sales,5993,4,Yes,LOW RISK
2,Research & Development,5130,2,No,LOW RISK
4,Research & Development,2090,3,Yes,MEDIUM RISK
5,Research & Development,2909,3,Yes,MEDIUM RISK
7,Research & Development,3468,2,No,LOW RISK
8,Research & Development,3068,4,No,LOW RISK
10,Research & Development,2670,1,Yes,HIGH RISK
11,Research & Development,2693,3,No,MEDIUM RISK
12,Research & Development,9526,3,No,MEDIUM RISK
13,Research & Development,5237,3,No,MEDIUM RISK
14,Research & Development,2426,2,No,LOW RISK
15,Research & Development,4193,3,Yes,MEDIUM RISK
16,Research & Development,2911,3,No,MEDIUM RISK
18,Research & Development,2661,4,No,LOW RISK
19,Research & Development,2028,3,Yes,MEDIUM RISK
20,Research & Development,9980,1,No,MEDIUM RISK
21,Research & Development,3298,2,Yes,HIGH RISK
22,Research & Development,2935,4,Yes,LOW RISK
23,Sales,15427,4,No,LOW RISK
24,Research & Development,3944,4,Yes,LOW RISK
26,Research & Development,4011,3,No,MEDIUM RISK
27,Sales,3407,1,No,LOW RISK
28,Research & Development,11994,2,No,LOW RISK
30,Research & Development,1232,4,No,LOW RISK
31,Research & Development,2960,1,No,LOW RISK
32,Research & Development,19094,3,No,MEDIUM RISK
33,Research & Development,3919,1,Yes,HIGH RISK
35,Sales,6825,2,No,LOW RISK
36,Research & Development,10248,4,No,LOW RISK
38,Sales,18947,1,No,LOW RISK
39,Research & Development,2496,4,No,LOW RISK
40,Research & Development,6465,4,Yes,LOW RISK
41,Research & Development,2206,3,No,MEDIUM RISK
42,Sales,2086,4,No,LOW RISK
45,Research & Development,2293,4,Yes,LOW RISK
46,Research & Development,2645,3,No,MEDIUM RISK
47,Sales,2683,3,Yes,MEDIUM RISK
49,Sales,2014,4,No,LOW RISK
51,Research & Development,3419,1,Yes,HIGH RISK
52,Sales,5376,1,No,LOW RISK
53,Research & Development,1951,4,No,LOW RISK
54,Research & Development,2341,1,No,LOW RISK
55,Research & Development,2293,3,No,MEDIUM RISK
56,Sales,8726,3,No,MEDIUM RISK
57,Research & Development,4011,4,No,LOW RISK
58,Research & Development,19545,3,No,MEDIUM RISK
60,Sales,4568,3,No,MEDIUM RISK
61,Research & Development,3022,2,No,LOW RISK
62,Sales,5772,4,Yes,LOW RISK
63,Research & Development,2269,4,No,LOW RISK
64,Research & Development,5381,3,Yes,MEDIUM RISK
65,Research & Development,3441,3,Yes,MEDIUM RISK
68,Sales,5454,1,Yes,LOW RISK
70,Research & Development,9884,1,Yes,LOW RISK
72,Sales,4157,4,Yes,MEDIUM RISK
73,Research & Development,13458,4,Yes,LOW RISK
74,Sales,9069,1,No,LOW RISK
75,Research & Development,4014,1,Yes,HIGH RISK
76,Research & Development,5915,4,No,LOW RISK
77,Research & Development,5993,3,No,MEDIUM RISK
78,Research & Development,6162,4,Yes,LOW RISK
79,Research & Development,2406,4,No,MEDIUM RISK
80,Research & Development,18740,3,Yes,MEDIUM RISK
81,Sales,7637,1,No,MEDIUM RISK
83,Research & Development,10096,3,No,MEDIUM RISK
84,Research & Development,14756,3,Yes,MEDIUM RISK
85,Research & Development,6499,2,No,LOW RISK
86,Research & Development,9724,1,No,LOW RISK
88,Research & Development,2194,1,No,LOW RISK
90,Research & Development,3388,3,Yes,MEDIUM RISK
91,Sales,5473,3,No,MEDIUM RISK
94,Research & Development,2703,2,No,LOW RISK
95,Research & Development,2501,2,No,LOW RISK
96,Research & Development,6220,2,No,LOW RISK
97,Research & Development,3038,4,No,LOW RISK
98,Research & Development,4424,4,No,LOW RISK
100,Sales,4312,1,No,LOW RISK
101,Research & Development,13245,1,Yes,LOW RISK
102,Research & Development,13664,3,No,MEDIUM RISK
103,Human Resources,5021,2,Yes,LOW RISK
104,Research & Development,5126,4,Yes,LOW RISK
105,Research & Development,2859,3,No,MEDIUM RISK
106,Sales,10239,4,No,LOW RISK
107,Research & Development,5329,4,Yes,LOW RISK
110,Research & Development,4325,2,No,LOW RISK
112,Research & Development,7260,4,No,LOW RISK
113,Sales,2322,1,No,LOW RISK
116,Research & Development,2075,4,No,LOW RISK
117,Research & Development,4152,4,No,LOW RISK
118,Sales,9619,4,No,LOW RISK
119,Research & Development,13503,2,No,LOW RISK
120,Sales,5441,4,Yes,MEDIUM RISK
121,Sales,5209,2,Yes,LOW RISK
124,Research & Development,10673,1,Yes,LOW RISK
125,Sales,5010,3,No,MEDIUM RISK
126,Research & Development,13549,3,No,MEDIUM RISK
128,Sales,4999,3,No,MEDIUM RISK
129,Sales,4221,3,No,MEDIUM RISK
131,Sales,13872,3,No,MEDIUM RISK
132,Research & Development,2042,2,No,MEDIUM RISK
133,Human Resources,2073,1,Yes,HIGH RISK
134,Research & Development,2956,1,No,LOW RISK
137,Research & Development,2926,4,Yes,LOW RISK
138,Research & Development,4809,3,No,MEDIUM RISK
139,Research & Development,5163,4,No,LOW RISK
140,Human Resources,18844,4,No,LOW RISK
141,Research & Development,18172,2,Yes,LOW RISK
142,Sales,5744,3,Yes,MEDIUM RISK
143,Research & Development,2889,4,No,LOW RISK
144,Research & Development,2871,4,No,LOW RISK
145,Research & Development,7484,1,No,LOW RISK
147,Research & Development,6074,3,Yes,MEDIUM RISK
148,Human Resources,17328,4,Yes,MEDIUM RISK
150,Research & Development,2774,3,No,MEDIUM RISK
151,Research & Development,4505,2,No,LOW RISK
152,Sales,7428,4,No,LOW RISK
153,Research & Development,11631,1,No,LOW RISK
154,Sales,9738,4,No,LOW RISK
155,Research & Development,2835,4,No,LOW RISK
158,Sales,16959,4,Yes,MEDIUM RISK
159,Research & Development,2613,3,No,MEDIUM RISK
160,Sales,6146,2,No,MEDIUM RISK
161,Research & Development,4963,2,Yes,HIGH RISK
162,Research & Development,19537,3,No,MEDIUM RISK
